location,likes,text,date
"Delray Beach, FL",25698,RT @KristenClarkeJD: BREAKING: Gov. Andrew Cuomo announces that every New York voter will *automatically* receive a postage-paid applicatio…,11/4/2008
"Washington, D.C.",661,RT @PortNOLA: Our VP and Chief Commercial Officer Bobby Landry shared his insight along with Port of South Louisiana Executive Director Pau…,3/17/2009
"Is this heaven? No, its Iowa",57739,"RT @LauraRBelin: “If China hadn’t covered up #Covid19, the effects of this pandemic could have been lessened,” #Iowa Senator @joniernst twe…",6/24/2014
"Dallas, TX",43107,RT @SydneyHdzTV: #TEXAS BREAKING: Texas Governor Greg Abbott says the state wide executive stay at home order will expire April 30th. “It’s…,11/18/2014
"Washington, DC",801,"RT @NCLC4consumers: Renewal &amp; expansion of the #COVID19 @SBAgov program must contain set asides for #smallbiz owned by people of color, alt…",6/30/2009
"Alexandria, VA",32778,RT @NYTMetro: The Cathedral Church of St. John the Divine said on Monday that its 600-foot-long nave and large subterranean crypt would be…,3/25/2008
"Washington, DC",14534,"RT @rachelpleven: Here's something I've been working on:

I recently spoke to 11 medical workers in Santa Clara County about their jobs dur…",11/14/2013
"Pennsylvania, USA",92319,"RT @NolteNC: Not only do I have a home gym, a home movie theater, and plenty of land across the road to walk my dogs, I’ve been cutting my…",12/31/2011
"California, USA",215467,"RT @marthadelgado: Un breve mensaje de @mundomontesdoca, uno de los funcionarios de la @SRE_mx que regresa a #México desde Shanghai con ins…",12/21/2012
"Portland, OR USA",46685,RT @luciemorrismarr: More than 400 coronavirus cases – 10% of Australia’s total – are from Ruby Princess cruise ship. What a debacle. #Covi…,9/24/2011
"Kansas City, Missouri",396,"@TechNinjaSpeaks I've been parting to the side and pretending on top for too long.  Right before stay at home, I de… https://t.co/qVboNp9elr",5/18/2012
"Charlotte, NC",1893,"Mecklenburg County is rescinding its stay-at-home order and will now align with Gov. Roy Cooper’s order.

County Ma… https://t.co/vJtWuxXIkt",5/28/2014
"Upstate New York, USA",51233,"RT @AmandiOnAir: No, @tomfriedman. If @JoeBiden wins the election, we don’t want him to form a “national unity cabinet” w/ Republicans.…",4/23/2012
"Wahiawa, Waipahu, HI",49058,"RT @MunaNawabit1: How can we make 2020 more interesting during this pandemic: 

The Pentagon: hold my beer 

https://t.co/nBRnitC42j

 #Ali…",9/7/2014
"Miamisburg, OH",28780,RT @marklevinshow: MIT study and analysis:  New York’s decision to cutback on subway trains and public buses crowded more people onto fewer…,10/4/2012
"Holden, MA",53676,"RT @StevenBeschloss: How empty must a man be that, in the midst of a deadly &amp; accelerating pandemic that may take the lives of hundreds of…",7/24/2008
"Raleigh, NC",20107,"RT @NoGamePaul: “The next outbreak? We’re not ready” 

Bill Gates Ted Talk in 2015 

#coronapocolypse #coronavirus https://t.co/1tz3FMw2WS",11/25/2010
"Springfield, MO",8044,"RT @maddow: Plea from head of hospital group in southwest Missouri: 

""We need federal intervention""",7/17/2009
"Ohio, USA",119859,RT @BreeNewsome: Why is the pandemic being framed as a war instead of a public health crisis? It’s not a war. It’s a public health crisis t…,3/29/2016
"Washington, DC",30557,"RT @creepingsharia: Too late for Easter...but just in time for Ramadan (aka The Month of Jihad)

#OathBreakers",3/29/2009
"Palm Desert, CA",9096,"RT @MaddowBlog: ""An examination reveals the president was warned about the potential for a pandemic but that internal divisions, lack of pl…",9/3/2012
"Denver, CO",4238,"RT @ResistanceSean: My aunt passed away Saturday. My mother is convinced it was COVID 19. Doctors wouldn’t test her, they gave her an inhal…",10/22/2016
"Las Vegas, NV",1973,RT @edsbs: Ron is so bad at this that he waited until April Fool’s Day to make a serious announcement,10/12/2008
"Texas, USA",8534,RT @donholt99: This is our leader. An incoherent demented unstable impeached traitor @realDonaldTrump who kills Americans with his incompet…,7/28/2019
"AUSTIN,TX",30504,"RT @nayibbukele: 62 personas salieron de cuarentena.

1 nuevo paciente curado. 1 salió de estado crítico.

Hasta el momento, hemos realizad…",9/30/2013
"Cleveland, OH",10157,3rd grade Hudson student’s #coronavirus video will win your heart https://t.co/o46c1d2j7V,4/3/2008
"New Port Richey, FL",58564,"RT @johnddavidson: The original purpose of the lockdowns wasn't to ""save lives"" but to prevent hospitals from being overrun by COVID cases.…",9/2/2017
"Michigan, USA",79229,RT @Sylvaners: Government coronavirus bailouts will pay pastors’ salaries https://t.co/aOXLvjxbG6,2/1/2017
"Hunt Valley, Maryland",280655,"RT @Amy_Siskind: Like Speaker Pelosi says, weak leaders don't take responsibility for their own actions.
https://t.co/5U1w7UPZVu",12/27/2011
"Melrose, MA",555,East Foster Street family says “Thank You to the Helpers” @MelroseHelps #melrose #melrosema #melrosehelps… https://t.co/EZyJabWdDh,6/5/2017
"Orange City, Florida",91,Awesome let them keep dropping like flies! https://t.co/nimEpL7oGQ,8/9/2010
"Tennessee, USA",115827,#TrumpVirus https://t.co/dSXYZ3pnrF,9/29/2010
"St. Paul, MN",661015,RT @MiaFarrow: So many Americans who died of covid-19 are left out of the official count because the CDC counts only deaths in which the pr…,2/19/2012
"Apopka, Florida",23662,"RT @samstein: Trump just now touting 3.5 million test completed is a weird boast. On March 10, Pence pledged 4 million tests by the end of…",7/6/2012
"Baltimore, MD",15542,"RT @MSNBC: WATCH: @SteveKornacki breaks down why coronavirus cases are quickly rising in small Midwestern communities #TrackingKornacki
htt…",2/23/2010
"New York, USA",48027,"RT @yaneerbaryam: COVID-19: How to win!

pdf https://t.co/4QjIfEiG37 https://t.co/zQfpT6CHmQ",6/9/2008
"Ponte Vedra Beach, FL",3612,RT @taunyaphillips: Employment uncertainty has been an unfortunate side effect of the COVID-19 global health crisis. During this challengin…,3/23/2009
"Phoenix, AZ",12011,"RT @DrDenaGrayson: 👇🏼Olympic-level gaslighting. After downplaying the threat of this deadly #coronavirus and claiming the flu was worse, @r…",4/26/2009
"Maine, USA",176449,RT @StephenKing: Trump pooh-poohed the coronavirus and now all Americans are paying a price for his laziness and incompetence. My guess is…,6/24/2010
"Washington, DC",38928,This is some end-stage Republican Rome shit. https://t.co/yr5f67x6LS,6/25/2010
"Lake Minnetonka,  MN",562,Need to do what we have to in order to get over this pandemic. https://t.co/63dUlch9IB,8/4/2010
